,0
1946,1372006
1947,1320423
1948,252116
1949,397379
1950,694570
1951,1049269
1952,490363
1953,268408
1954,837871
1955,1045559
1956,993573
1957,436285
1958,730475
1959,280167
1960,41078
1961,467536
1962,803160
1963,682997
1964,1044437
1965,439770
1966,455371
1967,431066
1968,471866
1969,41181
1970,4365697
1971,1379064
1972,1445178
1973,4430920
1974,1301680
1975,1445060
1976,1398884
1977,1009702
1978,419506
1979,1372003
1980,584986
1981,280966
1982,468253
1983,41474
1984,756895
1985,1243992
1986,41253
1987,431206
1988,818570
1989,471053
1990,1138865
1991,1008301
1992,471878
1993,4402391
1994,1390618
1995,707288
1996,81252
1997,394465
1998,915244
1999,927712
2000,1209680
2001,1412251
2002,40846
2003,1100456
2004,84316
2005,412503
2006,4380390
2007,581955
2008,840961
2009,1114892
2010,79663
2011,893704
2012,430536
2013,1112308
2014,820724
2015,1007663
2016,40947
2017,505750
2018,952739
2019,840673
2020,1252556
2021,41015
2022,574244
2023,893648
2024,431073
2025,1228534
2026,1142591
2027,41410
2028,616269
2029,44809
2030,419583
2031,933755
2032,893496
2033,471835
2034,592284
2035,1006132
2036,471692
2037,1345724
2038,460259
2039,81565
2040,634179
2041,916722
2042,728097
2043,573328
2044,1319994
2045,390530
2046,4326621
2047,685252
2048,799353
2049,468785
2050,777027
2051,41609
2052,8758
2053,453202
2054,260818
2055,702179
2056,1039060
2057,1048663
2058,1199956
2059,4498268
2060,429002
2061,840957
2062,4430396
2063,705688
2064,908602
2065,40774
2066,1283343
2067,41559
2068,597535
2069,1398904
2070,1352398
2071,4456630
2072,40989
2073,1283350
2074,94197
2075,419441
2076,409026
2077,4417004
2078,1239328
2079,41588
2080,1043409
2081,1354764
2082,970126
2083,780170
2084,1223272
2085,700096
2086,1253974
2087,41194
2088,723687
2089,1388690
2090,4641840
2091,1370479
2092,406145
2093,840253
2094,41534
2095,1235005
2096,958470
2097,957794
2098,783247
2099,464842
2100,501896
2101,394044
2102,4830965
2103,592367
2104,409345
2105,436344
2106,601530
2107,438283
2108,1043989
2109,1216785
2110,926858
2111,41282
2112,252010
2113,280543
2114,1006652
2115,453147
2116,41596
2117,465010
2118,843169
2119,974199
2120,481584
2121,763967
2122,1044533
2123,449943
2124,487344
2125,532995
2126,977752
2127,1007808
2128,403493
2129,1236016
2130,803433
2131,41604
2132,938870
2133,94979
2134,1311545
2135,417599
2136,280280
2137,1338093
2138,85104
2139,1196962
2140,999454
2141,1199532
2142,970903
2143,1318936
2144,932492
2145,41532
2146,1112778
2147,281768
2148,838695
2149,984296
2150,451276
2151,694593
2152,970906
2153,678558
2154,717988
2155,1267335
2156,4444059
2157,728587
2158,40830
2159,449944
2160,1009410
2161,585411
2162,455572
2163,276271
2164,421436
2165,842036
2166,406409
2167,1373690
2168,474490
2169,1272221
2170,765890
2171,493154
2172,1283332
2173,840670
2174,783249
2175,411728
2176,585346
2177,915122
2178,1256273
2179,1402934
2180,725504
2181,1112519
2182,566836
2183,629890
2184,566558
2185,1311062
2186,445873
2187,893525
2188,471880
2189,819176
2190,41164
2191,915329
2192,80699
2193,732776
2194,309407
2195,882288
2196,4907342
2197,1426216
2198,474876
2199,294988
2200,41359
2201,728050
2202,1398897
2203,1164113
2204,493858
2205,579498
2206,1399018
2207,1363062
2208,630192
2209,503227
2210,619995
2211,1435459
2212,1045076
2213,1103856
2214,580644
2215,1008317
2216,280735
2217,771402
2218,615790
2219,949037
2220,4448995
2221,417653
2222,1073236
2223,41376
2224,592129
2225,764736
2226,1270685
2227,260363
2228,468285
2229,673713
2230,1252947
2231,1325614
2232,103413
2233,427081
2234,994612
2235,489370
2236,602908
2237,1228484
2238,414927
2239,432562
2240,566599
2241,1272388
2242,4430029
2243,480524
2244,1161764
2245,453288
2246,41124
2247,464971
2248,413476
2249,1112993
2250,469203
2251,85087
2252,573206
2253,818350
2254,4550949
2255,63893
2256,258116
2257,95322
2258,502107
2259,609882
2260,913055
2261,1048557
2262,40694
2263,1115454
2264,940669
2265,403478
2266,807486
2267,839272
2268,1370457
2269,589638
2270,464857
2271,436325
2272,464846
2273,422876
2274,521668
2275,412083
2276,397298
2277,571266
2278,41187
2279,704915
2280,580702
2281,451131
2282,41248
2283,453323
2284,253340
2285,947239
2286,795393
2287,1370475
2288,445102
2289,652832
2290,464876
2291,411989
2292,427080
2293,41130
2294,256641
2295,1007949
2296,656423
2297,683117
2298,258112
2299,1115541
2300,41393
2301,445047
2302,507163
2303,427905
2304,1378954
2305,4448519
2306,41510
2307,586645
2308,846887
2309,1398899
2310,4539790
2311,420220
2312,855911
2313,400472
2314,822604
2315,1405916
2316,972325
2317,432579
2318,586608
2319,2044847
2320,451231
2321,208147
2322,573985
2323,420369
2324,564856
2325,629889
2326,629253
2327,1118093
2328,460286
2329,806510
2330,453022
2331,428833
2332,41450
2333,1385235
2334,802386
2335,1242651
2336,260902
2337,1311245
2338,427095
2339,1185935
2340,475973
2341,567167
2342,851913
2343,1045965
2344,1167854
2345,1184900
2346,1399299
2347,447709
2348,1354896
2349,412478
2350,414598
2351,992648
2352,161121
2353,740616
2354,431074
2355,471335
2356,935909
2357,41325
2358,745090
2359,1046195
2360,694276
2361,395681
2362,421439
2363,968027
2364,41538
2365,1283336
2366,419406
2367,411823
2368,958627
2369,41288
2370,1289032
2371,467004
2372,927567
2373,1224694
2374,497720
2375,40881
2376,1189917
2377,984365
2378,988161
2379,1259240
