,Город,Субъект федерации,Федеральный округ,Код субъекта РФ
746,Купино,Новосибирская область,Сибирский,54
747,Новосибирск,Новосибирская область,Сибирский,54
748,Обь,Новосибирская область,Сибирский,54
749,Татарск,Новосибирская область,Сибирский,54
750,Тогучин,Новосибирская область,Сибирский,54
751,Черепаново,Новосибирская область,Сибирский,54
752,Чулым,Новосибирская область,Сибирский,54
753,Чулым-3,Новосибирская область,Сибирский,54
754,Исилькуль,Омская область,Сибирский,55
755,Калачинск,Омская область,Сибирский,55
756,Называевск,Омская область,Сибирский,55
757,Омск,Омская область,Сибирский,55
758,Тара,Омская область,Сибирский,55
759,Тюкалинск,Омская область,Сибирский,55
760,Абдулино,Оренбургская область,Приволжский,56
761,Бугуруслан,Оренбургская область,Приволжский,56
762,Бузулук,Оренбургская область,Приволжский,56
763,Гай,Оренбургская область,Приволжский,56
764,Кувандык,Оренбургская область,Приволжский,56
765,Медногорск,Оренбургская область,Приволжский,56
766,Новотроицк,Оренбургская область,Приволжский,56
767,Оренбург,Оренбургская область,Приволжский,56
768,Орск,Оренбургская область,Приволжский,56
769,Соль-Илецк,Оренбургская область,Приволжский,56
770,Сорочинск,Оренбургская область,Приволжский,56
771,Ясный,Оренбургская область,Приволжский,56
772,Болхов,Орловская область,Центральный,57
773,Дмитровск,Орловская область,Центральный,57
774,Ливны,Орловская область,Центральный,57
775,Малоархангельск,Орловская область,Центральный,57
776,Мценск,Орловская область,Центральный,57
777,Новосиль,Орловская область,Центральный,57
778,Орёл,Орловская область,Центральный,57
779,Белинский,Пензенская область,Приволжский,58
780,Городище,Пензенская область,Приволжский,58
781,Заречный,Пензенская область,Приволжский,58
782,Каменка,Пензенская область,Приволжский,58
783,Кузнецк,Пензенская область,Приволжский,58
784,Кузнецк-12,Пензенская область,Приволжский,58
785,Кузнецк-8,Пензенская область,Приволжский,58
786,Нижний Ломов,Пензенская область,Приволжский,58
787,Никольск,Пензенская область,Приволжский,58
788,Пенза,Пензенская область,Приволжский,58
789,Сердобск,Пензенская область,Приволжский,58
790,Спасск,Пензенская область,Приволжский,58
791,Сурск,Пензенская область,Приволжский,58
792,Александровск,Пермский край,Приволжский,59
793,Березники,Пермский край,Приволжский,59
794,Верещагино,Пермский край,Приволжский,59
795,Горнозаводск,Пермский край,Приволжский,59
796,Гремячинск,Пермский край,Приволжский,59
797,Губаха,Пермский край,Приволжский,59
798,Добрянка,Пермский край,Приволжский,59
799,Кизел,Пермский край,Приволжский,59
800,Красновишерск,Пермский край,Приволжский,59
801,Краснокамск,Пермский край,Приволжский,59
802,Кудымкар,Пермский край,Приволжский,59
803,Кунгур,Пермский край,Приволжский,59
804,Лысьва,Пермский край,Приволжский,59
805,Нытва,Пермский край,Приволжский,59
806,Оса,Пермский край,Приволжский,59
807,Оханск,Пермский край,Приволжский,59
808,Очер,Пермский край,Приволжский,59
809,Пермь,Пермский край,Приволжский,59
810,Соликамск,Пермский край,Приволжский,59
811,Усолье,Пермский край,Приволжский,59
812,Чайковский,Пермский край,Приволжский,59
813,Чердынь,Пермский край,Приволжский,59
814,Чермоз,Пермский край,Приволжский,59
815,Чернушка,Пермский край,Приволжский,59
816,Чусовой,Пермский край,Приволжский,59
817,Великие Луки,Псковская область,Северо-Западный,60
818,Великие Луки-1,Псковская область,Северо-Западный,60
819,Гдов,Псковская область,Северо-Западный,60
820,Дно,Псковская область,Северо-Западный,60
821,Невель,Псковская область,Северо-Западный,60
822,Новоржев,Псковская область,Северо-Западный,60
823,Новосокольники,Псковская область,Северо-Западный,60
824,Опочка,Псковская область,Северо-Западный,60
825,Остров,Псковская область,Северо-Западный,60
826,Печоры,Псковская область,Северо-Западный,60
827,Порхов,Псковская область,Северо-Западный,60
828,Псков,Псковская область,Северо-Западный,60
829,Пустошка,Псковская область,Северо-Западный,60
830,Пыталово,Псковская область,Северо-Западный,60
831,Себеж,Псковская область,Северо-Западный,60
832,Азов,Ростовская область,Южный,61
833,Аксай,Ростовская область,Южный,61
834,Батайск,Ростовская область,Южный,61
835,Белая Калитва,Ростовская область,Южный,61
836,Волгодонск,Ростовская область,Южный,61
837,Гуково,Ростовская область,Южный,61
838,Донецк,Ростовская область,Южный,61
